POP_ID,POPULATION,AREA,WATERBODY,ANALYSIS_YR,SPECIES,RUN_TYPE,NATURAL_ADULT_SPAWNERS,ESTIMATE_METHOD,ESTIMATE_CLASSIFICATION,ESTIMATE_STAGE,START_DTT,END_DTT,WATERSHED_CDE
132,Hiuihill Creek (Salmon Arm) Coho,29K,HIUIHILL CREEK,2023,Coho,FALL,,Not Applicable,RELATIVE ABUNDANCE (TYPE-5),FINAL,2023-10-10,2023-10-10,128-453400-03900-00000-0000-0000-000-000-000-000-000-000
46340,Hunakwa Creek (Salmon Arm) Coho,29K,HUNAKWA CREEK,2023,Coho,1,201,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-10-27,2023-11-17,128-731400-00000-00000-0000-0000-000-000-000-000-000-000
7475,Loftus Creek (Salmon Arm) Coho,29K,LOFTUS CREEK,2023,Coho,,0,Not Applicable,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-08,2023-11-22,128-831400-40700-00000-0000-0000-000-000-000-000-000-000
45016,McNomee Creek (Salmon Arm) Coho,29K,MCNOMEE CREEK,2023,Coho,1,21,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2023-10-25,2023-11-23,128-700300-05600-00000-0000-0000-000-000-000-000-000-000
3071,Nikwikwaia Creek (Salmon Arm) Coho,29K,NIKWIKWAIA CREEK,2023,Coho,FALL,6,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-3),FINAL,2023-10-10,2023-11-06,128-453400-05400-00000-0000-0000-000-000-000-000-000-000
46370,Owlhead Creek (Salmon Arm) Coho,29K,OWLHEAD CREEK,2023,Coho,1,9,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-08,2023-11-22,128-831400-09200-00000-0000-0000-000-000-000-000-000-000
133,Perry River (Salmon Arm) Coho,29K,PERRY RIVER,2023,Coho,FALL,0,Not Applicable,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-08,2023-11-22,128-831400-58500-00000-0000-0000-000-000-000-000-000-000
46401,Salmon River (Salmon Arm) Coho,29K,SALMON RIVER,2023,Coho,1,706,Combined Methods,RELATIVE ABUNDANCE (TYPE-3),FINAL,2023-10-24,2023-11-28,128-994100-00000-00000-0000-0000-000-000-000-000-000-000
46290,Scotch Creek (Salmon Arm) Coho,29K,SCOTCH CREEK,2023,Coho,1,93,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-5),FINAL,2023-10-26,2023-11-30,128-478700-00000-00000-0000-0000-000-000-000-000-000-000
3074,Senn Creek (Salmon Arm) Coho,29K,SENN CREEK,2023,Coho,FALL,74,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-08,2023-11-22,128-831400-43243-00000-0000-0000-000-000-000-000-000-000
46431,Shuswap River - Lower (Salmon Arm) Coho,29K,SHUSWAP RIVER - LOWER,2023,Coho,1,519,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-09,2023-11-18,128-835500-00000-00000-0000-0000-000-000-000-000-000-000
46441,Shuswap River - Middle (Salmon Arm) Coho,29K,SHUSWAP RIVER - MIDDLE,2023,Coho,1,594,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-09,2023-11-17,128-835500-00000-00000-0000-0000-000-000-000-000-000-000
46380,South Pass Creek (Salmon Arm) Coho,29K,SOUTH PASS CREEK,2023,Coho,1,43,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-09,2023-11-22,128-831400-85900-00000-0000-0000-000-000-000-000-000-000
46391,Tappen Creek (Salmon Arm) Coho,29K,TAPPEN CREEK,2023,Coho,1,32,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2023-10-24,2023-11-28,128-963600-00000-00000-0000-0000-000-000-000-000-000-000
44975,Tranquille River (Salmon Arm) Coho,29K,TRANQUILLE RIVER,2023,Coho,1,697,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2023-10-04,2023-11-19,120-907500-00000-00000-0000-0000-000-000-000-000-000-000
46521,Wap Creek (Salmon Arm) Coho,29K,WAP CREEK,2023,Coho,1,478,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2023-10-26,2023-11-30,128-835500-36600-00000-0000-0000-000-000-000-000-000-000
3217,Wright Creek (Salmon Arm) Coho,29K,WRIGHT LAKE CREEK,2023,Coho,FALL,0,Not Applicable,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-01,2023-11-30,128-703900-00000-00000-0000-0000-000-000-000-000-000-000
7476,Yard Creek (Salmon Arm) Coho,29K,YARD CREEK,2023,Coho,,0,Not Applicable,RELATIVE ABUNDANCE (TYPE-4),FINAL,2023-11-08,2023-11-22,128-831400-35600-00000-0000-0000-000-000-000-000-000-000
46200,Bonaparte River (Lillooet) Coho,29F,BONAPARTE RIVER,2024,Coho,1,230,Resistivity Counter,TRUE ABUNDANCE (TYPE-1),FINAL,2024-09-11,2024-11-15,120-506800-00000-00000-0000-0000-000-000-000-000-000-000
46190,Coldwater River (Lillooet) Coho,29F,COLDWATER RIVER,2024,Coho,1,13225,Combined Methods,TRUE ABUNDANCE (TYPE-1),FINAL,2024-09-17,2024-11-20,120-246600-33700-00000-0000-0000-000-000-000-000-000-000
46210,Deadman River (Lillooet) Coho,29F,DEADMAN RIVER,2024,Coho,1,2615,Resistivity Counter,TRUE ABUNDANCE (TYPE-1),FINAL,2024-08-29,2024-11-19,120-714600-00000-00000-0000-0000-000-000-000-000-000-000
47213,Gates River (Lillooet) Coho,29F,GATES RIVER,2024,Coho,1,3219,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2024-10-29,2024-12-04,100-235900-99100-00000-0000-0000-000-000-000-000-000-000
47159,Nahatlatch River (Lillooet) Coho,29F,NAHATLATCH RIVER,2024,Coho,1,10381,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2024-11-05,2024-12-11,100-170100-00000-00000-0000-0000-000-000-000-000-000-000
47183,Portage Creek (Lillooet) Coho,29F,PORTAGE CREEK,2024,Coho,1,263,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2024-10-22,2024-11-20,100-235900-00000-00000-0000-0000-000-000-000-000-000-000
44539,Seton River (Lillooet) Coho,29F,SETON CHANNELS - UPPER AND LOWER,2024,Coho,,1505,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2024-10-30,2024-12-02,100-235900-00000-00000-0000-0000-000-000-000-000-000-000
46180,Spius Creek (Lillooet) Coho,29F,SPIUS CREEK,2024,Coho,1,3384,Sonar-ARIS,TRUE ABUNDANCE (TYPE-1),FINAL,2024-09-13,2024-11-20,120-246600-23400-00000-0000-0000-000-000-000-000-000-000
7771,Blue Lead Creek (Williams Lake) Coho,29G,BLUE LEAD CREEK,2024,Coho,,0,Not Applicable,RELATIVE ABUNDANCE (TYPE-4),FINAL,2024-11-06,2024-11-06,160-989300-00000-00000-0000-0000-000-000-000-000-000-000
46835,Chilcotin River (Williams Lake) Coho,29G,CHILCOTIN RIVER - LOWER,2024,Coho,1,564,Sonar-ARIS,TRUE ABUNDANCE (TYPE-1),FINAL,2024-10-01,2024-11-17,150-000000-00000-00000-0000-0000-000-000-000-000-000-000
46845,Chilko River (Williams Lake) Coho,29G,CHILKO RIVER,2024,Coho,1,6522,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2024-11-12,2024-11-15,150-335700-00000-00000-0000-0000-000-000-000-000-000-000
7780,Hazeltine Creek (Williams Lake) Coho,29G,HAZELTINE CREEK,2024,Coho,,27,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2024-10-21,2024-11-18,160-585700-00000-00000-0000-0000-000-000-000-000-000-000
46895,Horsefly River (Williams Lake) Coho,29G,HORSEFLY RIVER,2024,Coho,1,665,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-3),FINAL,2024-10-04,2024-11-21,160-635400-00000-00000-0000-0000-000-000-000-000-000-000
1505,Little Horsefly River (Williams Lake) Coho,29G,LITTLE HORSEFLY RIVER,2024,Coho,FALL,100,Area Under the Curve,RELATIVE ABUNDANCE (TYPE-4),FINAL,2024-10-22,2024-11-19,160-635400-14100-00000-0000-0000-000-000-000-000-000-000
45045,McKinley Creek (Williams Lake) Coho,29G,MCKINLEY CREEK,2024,Coho,1,9543,Combined Methods,TRUE ABUNDANCE (TYPE-1),FINAL,2024-10-02,2024-11-14,160-635400-46400-00000-0000-0000-000-000-000-000-000-000
46915,Mitchell River (Williams Lake) Coho,29G,MITCHELL RIVER,2024,Coho,1,699,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2024-11-06,2024-11-06,160-738500-00000-00000-0000-0000-000-000-000-000-000-000
7008,Penfold Creek (Williams Lake) Coho,29G,PENFOLD CREEK,2024,Coho,FALL,729,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2024-11-06,2024-11-06,160-738500-02300-00000-0000-0000-000-000-000-000-000-000
45075,Summit Creek (Williams Lake) Coho,29G,SUMMIT CREEK,2024,Coho,,273,Peak Live * Expansion,RELATIVE ABUNDANCE (TYPE-4),FINAL,2024-11-06,2024-11-06,160-999100-00000-00000-0000-0000-000-000-000-000-000-000
